session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
55,4,10,10,21,4,65,27,6,21,9,128
56,10,30,27,65,30,3,9,3,6,4,128
57,9,115,33,4,24,9,6,115,24,9,128
58,65,3,4,155,33,2,10,27,4,21,128
59,10,65,27,424,424,10,4,10,3,3,128
60,4,4,6,3,6,10,21,65,27,3,128
61,65,9,30,10,27,21,4,30,33,115,128
62,6,33,6,4,9,9,24,4,4,4,128
63,24,24,6,9,9,115,9,3,65,10,128
64,21,27,65,4,21,4,27,10,10,4,128
65,3,3,4,10,4,6,3,4,10,21,128
66,4,10,21,65,27,4,4,4,6,4,128
67,4,3,30,9,4,6,4,6,4,9,128
68,4,4,33,4,115,4,6,4,4,123,128
69,9,123,4,9,43,4,9,4,9,9,128
70,115,4,115,4,4,9,4,115,4,4,128
71,4,115,4,4,9,4,115,4,115,4,128
72,4,4,3,115,4,3,10,21,65,27,128
73,10,21,4,207,192,4,216,10,21,4,128
74,27,65,4,6,21,10,30,27,65,9,128
75,30,9,3,33,10,6,115,3,33,4,128
76,115,155,2,27,10,4,3,9,65,21,128
77,4,27,10,21,4,3,2,2,4,3,128
78,6,2,2,2,2,2,2,2,2,3,128
79,2,6,3,6,2,3,2,141,32,32,128
80,32,32,32,32,32,12,289,12,289,68,128
81,12,12,110,110,68,12,12,12,12,12,128
82,12,398,289,32,56,249,56,249,178,56,128
83,2,2,216,4,10,21,4,27,65,10,128
84,21,65,27,4,30,6,4,9,30,9,128
85,6,3,33,9,6,10,115,4,3,115,128
86,33,9,3,155,65,10,21,27,2,4,128
87,2,4,27,10,4,21,4,3,2,2,128
88,6,3,4,2,3,6,2,2564,2541,790,128
89,1787,4543,790,1787,209,31,583,1802,4544,583,128
90,2409,790,1336,870,1803,5,2410,1103,454,790,128
91,212,1781,22,2434,5,1351,1103,938,790,22,128
92,1351,938,1103,46,46,148,20,357,357,507,128
93,216,4,10,21,4,27,65,30,10,21,128
94,65,27,4,6,30,4,9,6,9,3,128
95,33,6,9,115,10,840,18,45,840,17,128
96,1588,292,840,5,3,3,2,10,2,6,128
97,115,33,9,4,3,3,65,10,27,21,128
98,155,3,2,9,840,840,10,840,18,17,128
99,840,130,22,6,130,1588,840,53,127,22,128
100,5,292,3,840,5,127,6,3,127,10,128
101,20,6,3,2,3,9,21,4,27,10,128
102,2,4,4545,4,6,2,2,1858,1858,1858,128
103,1858,840,53,2,192,61,3,81,43,216,128
104,4,10,21,4,65,27,10,21,65,27,128
105,4,30,3,4,9,6,9,30,3,9,128
106,6,33,4,10,9,4,33,6,1056,4,128
107,1587,9,4,4,2,155,1587,3,2,21,128
108,4,21,10,27,65,3,2,6,2,3,128
109,6,3,1859,2,1859,2,207,1859,1859,2,128
110,886,2,2,216,4,10,21,4,65,27,128
111,4,27,65,21,10,4,4,6,30,3,128
112,9,4,10,115,3,33,9,9,4,6,128
113,33,4,9,9,24,4,4,6,24,9,128
114,115,6,3,10,21,27,155,2,65,21,128
115,10,4,2,3,2,6,3,6,2,3,128
116,81,3,2,2,6,3,6,3,2,2952,128
117,2,40,2952,40,433,463,40,40,2951,2951,128
118,463,433,463,433,40,168,182,163,317,81,128
119,164,182,164,168,163,168,3,43,81,43,128
120,192,216,4,10,21,65,4,27,4,21,128
121,10,27,6,30,65,4,30,9,4,6,128
122,9,6,3,33,10,115,33,9,3,6,128
123,4,4,3,65,10,21,115,9,155,2,128
124,155,65,1446,41,41,82,82,41,41,165,128
125,82,985,985,99,985,985,1395,97,187,99,128
126,41,97,95,159,215,44,44,250,97,44,128
127,44,44,985,985,4,10,27,21,4,10,128
128,21,27,65,30,985,44,9,115,3,33,128
129,4,4,4,4,99,44,985,985,985,99,128
130,156,1395,215,41,465,99,985,227,95,82,128
131,81,164,163,182,163,168,317,164,164,168,128
132,163,3,81,43,81,164,317,168,163,182,128
133,182,168,164,168,163,3,43,81,794,43,128
134,43,43,216,4,10,21,4,65,27,30,128
135,4,27,65,21,6,10,10,9,4,6,128
136,3,4,33,6,6,4,155,9,4,33,128
137,155,2,65,10,3,10,27,4,21,43,128
138,3,2,2,6,3,2,3,6,192,3,128
139,2,2,43,216,4,10,21,4,65,27,128
140,10,21,65,27,4,9,6,4,30,9,128
141,10,3,33,4,3,6,9,33,4,6,128
142,4,4,4,9,24,43,4,4,155,21,128
143,3,4,6,24,2,9,27,4,21,10,128
144,65,192,216,4,10,21,4,65,27,10,128
145,21,65,27,4,6,30,4,6,9,9,128
146,3,33,4,10,4,155,21,4,3,33,128
147,2,9,4,21,10,27,65,43,4,216,128
148,10,21,4,65,27,10,21,65,27,4,128
149,4,30,6,4,3,4,6,9,6,4,128
150,4,4,6,10,3,9,4,9,51,4,128
151,33,4,24,6,4,43,4,4,9,24,128
152,6,33,51,216,4,10,21,4,65,27,128
153,21,65,27,4,10,30,6,4,9,30,128
154,6,3,33,4,10,33,4,6,9,3,128
155,4,3,65,155,2,21,17,840,45,18,128
156,1588,5,292,1588,840,5,840,130,1588,292,128
157,53,17,18,5,127,192,3,127,127,22,128
158,840,22,43,20,20,4,10,21,4,27,128
159,53,4,10,21,4,65,27,10,21,65,128
160,9,30,27,4,3,4,33,30,9,3,128
161,33,9,9,4,9,4,9,4,4,6,128
162,51,24,51,9,24,6,3,9,4,33,128
163,51,4,4,155,2,4,51,3,65,27,128
164,3,21,4,10,43,3,2,2,6,3,128
165,6,3,2,216,4,10,4,4,3,10,128
166,6,3,4,6,21,6,65,27,10,21,128
167,65,27,4,6,30,9,4,3,30,9,128
168,9,6,4,33,4,155,6,3,33,4,128
169,65,21,3,2,155,9,4,21,10,27,128
170,163,43,168,317,164,182,81,163,168,3,128
171,4539,114,570,114,81,39,43,114,114,39,128
172,3,2,2,3,6,3,10,216,4,10,128
173,2,6,4,4,3,4,3,21,6,6,128
174,65,27,10,21,65,27,4,9,30,3,128
175,4,6,9,30,33,4,9,33,6,4,128
176,9,51,24,4,4,9,3,4,51,155,128
177,6,24,10,155,2,4,21,10,27,65,128
178,60,60,60,60,265,39,39,216,4,10,128
179,21,4,65,27,4,27,10,21,65,4,128
180,30,30,6,4,9,3,9,9,6,4,128
181,33,10,3,4,4,9,33,9,4,9,128
182,4,155,2,155,3,10,4,21,10,27,128
183,65,43,3,2,2,6,3,2909,2909,2,128
184,3,6,3,2,43,163,81,164,317,182,128
185,168,182,168,164,163,3,39,81,43,43,128
186,2,3,6,3,2,6,2,31,666,3,128
187,31,666,666,666,666,666,666,666,666,666,128
188,666,666,666,39,2,2,2,2,2,3,128
189,3,2,2,2521,1411,1330,2519,2227,1330,1411,128
190,163,1081,1081,163,2775,2,1826,4546,794,2,128
191,1826,794,1826,794,69,162,69,4548,162,162,128
192,69,162,69,43,39,39,39,39,39,39,128
193,317,182,163,168,43,81,164,3,3,2,128
194,2,6,3,2,4549,2,81,2,6,3,128
195,43,293,2,293,1774,534,293,1774,2,293,128
196,534,2,2,31,119,175,283,499,175,283,128
197,298,4550,370,499,370,293,1774,2,175,175,128
198,216,4,10,21,4,65,27,65,21,4,128
199,27,10,3,6,9,30,30,4,33,4,128
200,6,9,10,33,9,4,4,4,3,155,128
201,2,10,4,21,27,65,5,216,4,10,128
202,21,4,65,27,27,65,21,4,10,30,128
203,6,4,30,6,3,10,9,3,4,9,128
204,6,4,4,33,4,4,9,51,9,33,128
205,4,6,4,43,4,24,4,51,4,51,128
206,24,6,9,9,4,4,4,4,9,4,128
207,4,4,4,4,4,9,4,4,4,4,128
208,4,9,4,4,4,4,9,4,4,4,128
209,4,9,4,4,4,4,4,4,9,4,128
210,4,4,4,4,10,10,4,30,9,3,128
211,10,6,33,4,30,3,4,9,6,33,128
212,4,4,9,4,4,216,4,10,21,4,128
213,65,27,21,27,4,65,10,30,3,4,128
214,6,9,4,30,3,9,4,6,33,10,128
215,6,4,9,6,3,2,9,33,2,3,128
216,9,21,10,43,4,2,2,216,4,10,128
217,21,4,4,65,27,65,4,21,27,10,128
218,9,30,6,4,9,10,3,33,4,33,128
219,6,3,4,4,4,4,9,4,9,3,128
220,10,2,155,4,21,10,27,65,60,60,128
221,39,39,69,162,69,39,182,163,317,164,128
222,81,168,163,168,182,164,3,81,43,43,128
223,357,507,357,39,69,162,69,39,267,456,128
224,456,415,415,43,216,4,4,10,21,4,128
225,65,27,6,30,27,65,21,10,4,9,128
226,4,30,6,10,3,9,4,51,267,33,128
227,4,3,9,51,4,33,9,4,9,4,128
228,6,24,43,4,4,51,4,6,24,9,128
229,4,9,9,9,4,4,51,4,4,155,128
230,3,24,51,155,10,2,21,4,27,65,128
231,10,558,218,218,3,216,4,10,21,4,128
232,81,43,4,10,21,65,27,10,27,65,128
233,4,21,30,4,3,6,9,30,3,33,128
234,4,9,6,10,9,33,4,4,6,4,128
235,6,6,33,9,3,4,3,155,2,4,128
236,21,10,27,65,39,267,267,43,267,39,128
237,39,60,60,60,60,39,3,3,2,2,128
238,3,6,6,3,2,2868,6,2868,45,102,128
239,22,22,17,6,10,5,40,18,40,6,128
240,20,1325,179,180,40,179,20,40,3,10,128
241,40,43,81,43,216,4,4,10,3,10,128
242,4,6,4,3,21,6,6,65,27,4,128
243,10,21,65,27,30,3,9,4,4,33,128
244,4,30,6,4,9,33,4,9,9,6,128
245,6,6,6,4,9,4,4,9,9,6,128
246,4,4,155,9,4,3,10,21,155,2,128
247,3,4,65,27,10,21,4,4,4,39,128
248,162,69,39,39,255,69,162,69,39,69,128
249,69,162,69,216,4,3,10,21,4,27,128
250,65,65,21,10,4,27,30,3,4,30,128
251,9,6,9,3,33,4,9,10,81,43,128
252,33,4,6,9,6,320,4,4,4,4,128
253,9,9,24,320,9,33,4,6,24,24,128
254,9,9,24,4,4,4,9,4,3,9,128
255,4,155,2,155,21,65,10,4,21,27,128
256,39,69,162,69,39,39,39,39,2,3,128
257,3,2,2,6,3,458,458,3,2,6,128
258,458,458,267,458,666,43,3,31,666,3,128
259,458,458,267,666,458,267,458,458,666,458,128
260,267,458,267,458,267,267,458,2,3,2,128
261,6,3,6,207,458,458,2,3,458,458,128
262,267,458,458,458,4,216,10,21,4,27,128
263,65,30,6,4,65,27,21,10,4,9,128
264,6,9,3,10,4,3,9,4,4,51,128
265,33,4,4,43,24,4,458,267,458,666,128
266,9,3,666,31,3,458,267,9,51,33,128
267,6,24,267,458,9,4,458,458,267,267,128
268,9,9,458,458,458,267,4,267,458,4,128
269,267,267,267,267,267,267,267,267,267,267,128
270,267,267,267,267,4,267,458,4,51,6,128
271,6,4,9,4,155,3,10,2,4,65,128
272,27,10,21,4,267,4,4,216,10,21,128
273,4,65,27,27,65,21,30,4,10,6,128
274,4,9,30,51,10,6,3,9,3,4,128
275,51,33,4,4,4,24,9,43,33,6,128
276,51,6,4,24,9,6,6,6,4,4,128
277,9,51,21,3,2,155,4,21,10,27,128
278,65,216,4,10,21,4,65,27,27,21,128
279,10,4,65,30,4,6,6,9,10,3,128
280,9,33,4,4,9,33,3,9,51,4,128
281,9,4,24,4,6,43,9,6,51,24,128
282,4,4,4,51,6,4,4,51,3,4,128
283,9,2,155,4,21,10,27,65,4,9,128
284,4,33,6,3,30,4,4,4,9,6,128
285,4,51,4552,1861,31,1861,1861,1861,4553,51,128
286,9,51,51,4,24,2,4,3,155,9,128
287,10,21,27,65,4,4,10,21,4,4,128
288,10,21,65,27,30,9,10,3,21,30,128
289,65,27,6,51,33,4,24,3,9,4,128
290,6,33,4,9,3,155,2,4,21,10,128
291,27,65,39,39,10,21,4,65,27,27,128
292,10,21,65,27,4,30,3,6,9,4,128
293,3,30,9,51,6,10,33,4,81,43,128
294,4,24,9,39,43,4,51,9,33,6,128
295,24,9,4,51,4,9,6,6,4,3,128
296,9,4,9,33,3,21,65,27,10,21,128
297,4,4,39,3,4,216,10,4,21,27,128
298,65,21,27,65,10,6,4,30,3,9,128
299,30,4,3,33,4,6,10,33,81,43,128
300,9,4,4,4,216,10,21,4,4,65,128
301,27,4,30,21,10,27,65,30,6,4,128
302,9,6,9,3,33,4,10,3,33,6,128
303,9,6,9,51,4,24,4,43,4547,2473,128
304,2894,589,628,628,2894,589,2473,1471,192,589,128
305,589,589,628,1471,1710,628,2895,628,589,2895,128
306,4,51,4,24,6,9,589,1471,2473,589,128
307,628,589,5,3,589,45,2319,628,589,589,128
308,589,589,589,628,628,31,628,31,589,628,128
309,4,155,2,3,2006,1710,3,1471,45,628,128
310,1471,589,3,1710,589,2006,17,5,2,45,128
311,589,589,628,1471,3,589,2006,4,4,27,128
312,10,21,65,589,216,4,10,21,4,27,128
313,65,21,10,27,4,30,6,65,9,6,128
314,3,9,33,4,10,13,38,19,13,38,128
315,38,13,1,7,19,38,1,1,1,78,128
316,38,19,38,15,6,9,15,38,13,19,128
317,3,6,9,15,38,19,245,3,4,33,128
318,4,9,155,155,3,21,65,2,10,4,128
319,21,27,43,43,10,21,4,27,65,4,128
320,10,21,65,27,30,3,6,9,30,4,128
321,3,33,4,10,9,6,39,33,4,6,128
322,9,51,4,320,4,81,43,9,4,24,128
323,4,320,51,4,3,9,24,6,4,3,128
324,10,21,4,10,21,27,10,65,4,21,128
325,39,39,3,216,4,10,21,4,65,27,128
326,10,65,27,21,4,30,3,6,9,4,128
327,30,33,3,10,9,6,4,33,43,81,128
328,43,4,9,4,4,9,3,155,3,21,128
329,2,4,21,27,10,65,2,3,2,6,128
330,3,38,153,14,2,78,13,6,78,3,128
331,19,38,13,1,38,19,140,13,7,1,128
332,13,7,19,78,1,78,1,1,15,38,128
333,13,14,78,14,1,1,1,19,1,14,128
334,1,1,13,1,1,14,14,14,1,1,128
335,1,1,13,1,14,14,14,1,4,14,128
336,14,1,14,1,14,14,14,14,1,1,128
337,14,14,14,1,1,14,14,14,19,13,128
338,1,14,19,75,13,6,75,75,14,19,128
339,19,1,14,14,1,19,14,38,13,19,128
340,1,1,13,503,78,19,8,503,75,15,128
341,3,13,19,38,19,38,13,8,39,255,128
342,3,2,3,2,2,6,3,13,3,6,128
343,2,19,38,19,2,1,14,38,38,3,128
344,6,19,13,14,6,3,75,1,75,13,128
345,19,75,14,19,78,75,1,78,14,14,128
346,1,19,78,19,19,1,13,1,14,14,128
347,1,19,14,14,1,1,14,14,14,14,128
348,78,1,14,14,1,19,19,14,14,1,128
349,14,14,1,14,14,1,43,14,14,14,128
350,14,1,1,14,14,13,14,14,1,14,128
351,1,14,14,14,1,14,14,1,14,14,128
352,1,14,14,14,14,1,1,14,14,1,128
353,1,38,19,1,13,1,38,1,13,11,128
354,153,19,1,13,883,11,1,75,38,1,128
355,1,15,1,13,1,11,11,1,11,1,128
356,11,11,1,11,11,1,11,11,1,11,128
357,1,11,11,11,1,11,1,11,11,11,128
358,1,11,1,13,11,11,1,11,11,11,128
359,1,1,11,11,11,1,1,1,1,1,128
360,13,19,19,7,13,1,19,140,13,75,128
361,14,140,13,19,1,14,1,7,13,7,128
362,1,1,1,1,1,1,7,1,7,1,128
363,7,1,7,1,7,7,7,1,7,7,128
364,1,7,1,7,7,7,7,1,1,7,128
365,7,7,7,1,1,7,7,13,7,7,128
366,1,7,1,7,7,1,7,7,7,19,128
367,1,19,1,19,19,7,1,1,7,7,128
368,7,1,75,7,1,7,1,1,75,1,128
369,1,13,1,13,153,19,1,13,11,78,128
370,11,1,11,75,1,11,1,13,14,19,128
371,1,78,75,14,1,13,14,1,1,13,128
372,1,1,14,1,14,14,1,14,14,14,128
373,1,1,14,19,19,19,13,11,153,19,128
374,1,13,11,13,38,1,1,11,1,11,128
375,1,13,11,19,1,78,38,8,38,13,128
376,78,140,1,19,75,78,19,8,13,1,128
377,1,13,11,1,11,1,1,1,1,1,128
378,11,1,11,1,11,1,11,11,11,1,128
379,11,11,11,1,11,11,1,11,11,1,128
380,11,11,19,1,11,1,19,11,11,13,128
381,11,13,8,19,1,13,19,140,627,7,128
382,13,1,75,6,13,7,78,6,1,13,128
383,7,1,7,6,13,1,8,1,1,1,128
384,1,13,8,1,1,8,1,1,8,1,128
385,8,8,8,6,1,1,8,8,8,1,128
386,8,1,8,8,1,8,1,8,1,8,128
387,8,19,13,38,19,38,13,7,153,7,128
388,13,1,19,6,38,7,1,75,1,19,128
389,7,7,1,1,13,1,7,7,1,7,128
390,7,1,7,7,1,19,7,7,1,7,128
391,7,7,1,7,1,7,7,7,7,1,128
392,1,7,7,7,7,1,7,7,1,13,128
393,10,4,216,4,3,10,3,7,6,4,128
394,3,6,7,1,21,3,7,7,3,65,128
395,4,27,6,10,65,21,27,7,4,6,128
396,4,30,1,9,3,4,30,7,4,1,128
397,9,6,4,4,9,4,4,9,9,4,128
398,4,320,33,24,320,33,4,6,320,24,128
399,320,7,7,7,1,7,1,7,7,7,128
400,320,7,1,1,1,320,1,1,320,9,128
401,24,4,4,24,1,13,8,19,1,13,128
402,8,75,1,8,1,1,1,8,1,4,128
403,1,8,8,1,320,24,4,4,8,8,128
404,320,1,78,8,8,1,8,320,320,8,128
405,320,8,1,1,320,8,9,24,320,8,128
406,4,320,8,8,1,8,1,8,8,8,128
407,1,8,13,1,8,8,1,8,8,8,128
408,8,1,1,8,8,8,1,8,1,8,128
409,8,1,320,24,4,4,320,4,320,1,128
410,320,24,9,4,4,1,320,13,1,1,128
411,8,19,8,1,13,8,8,1,8,1,128
412,320,1,1,13,1,8,8,1,1,8,128
413,8,1,8,8,8,75,8,1,1,8,128
414,8,8,8,1,8,8,1,8,8,1,128
415,8,9,8,320,320,8,1,8,1,8,128
416,8,13,1,1,320,1,24,1,13,1,128
417,153,11,78,1,11,19,13,9,11,6,128
418,9,13,19,1,1,1,1,1,11,11,128
419,1,11,11,9,1,1,11,11,6,11,128
420,11,1,11,11,1,11,11,1,9,24,128
421,320,4,4,320,4,320,11,11,320,24,128
422,4,4,320,1,11,3,320,9,11,4,128
423,320,1,320,9,320,320,11,11,11,11,128
424,1,1,11,11,4,13,11,11,1,11,128
425,11,1,4,9,24,320,51,4,1,19,128
426,1,1,1,13,7,19,1,13,7,6,128
427,1,7,1,1,1,1,7,7,1,7,128
428,7,1,7,7,19,7,7,1,7,1,128
429,7,7,7,1,7,7,1,7,7,1,128
430,7,7,7,7,1,7,7,4,13,4,128
431,51,4,7,7,51,1,7,1,7,9,128
432,7,7,1,1,1,13,1,13,11,1,128
433,19,11,1,6,1,11,1,11,1,11,128
434,1,11,11,1,11,11,11,11,1,1,128
435,11,11,4,4,65,21,3,155,2,11,128
436,11,15,1,1,11,11,9,11,11,1,128
437,11,11,1,11,11,1,15,11,11,13,128
438,11,11,1,1,11,11,11,11,1,11,128
439,1,11,11,11,1,11,11,1,11,11,128
440,1,11,11,1,1,4,21,10,27,4,128
441,1,1,1,13,11,1,19,6,13,11,128
442,6,1,11,6,11,11,1,1,11,13,128
443,1,1,11,11,1,11,11,1,11,11,128
444,1,19,11,11,1,11,11,11,11,1,128
445,1,11,11,11,1,11,11,1,11,11,128
446,1,11,11,11,13,1,11,1,11,11,128
447,11,11,1,1,11,11,11,11,1,11,128
448,11,1,11,11,1,11,1,1,1,13,128
449,19,14,1,1,19,13,14,6,19,1,128
450,19,1,1,1,14,14,1,14,1,1,128
451,14,14,19,14,14,1,14,14,1,14,128
452,14,1,14,14,1,14,14,1,14,14,128
453,14,14,1,1,14,14,13,14,14,1,128
454,14,14,1,14,14,1,14,14,14,1,128
455,14,1,14,14,14,14,1,1,14,14,128
456,14,14,1,14,14,1,14,14,1,1,128
457,1,1,13,8,19,1,140,13,1,8,128
458,19,6,8,1,1,13,1,19,1,8,128
459,13,1,1,1,1,1,8,1,1,1,128
460,8,1,8,8,8,1,1,19,1,8,128
461,8,8,1,8,8,8,1,8,1,8,128
462,8,8,8,1,1,8,8,8,8,1,128
463,8,8,1,8,13,1,1,1,1,11,128
464,19,13,19,1,13,11,11,6,1,1,128
465,1,1,13,1,11,1,11,11,1,1,128
466,11,11,11,1,11,11,1,11,1,11,128
467,11,1,11,1,11,11,11,1,1,11,128
468,11,11,13,11,1,11,11,1,11,11,128
469,1,11,11,11,1,11,1,11,11,11,128
470,11,1,1,11,11,11,1,11,1,11,128
471,11,1,11,11,11,1,11,1,11,11,128
472,11,11,1,1,11,11,11,1,11,1,128
473,1,1,1,1,13,153,13,19,14,1,128
474,6,19,19,1,1,14,1,1,14,1,128
475,14,1,14,14,1,14,19,1,14,14,128
476,1,14,14,1,14,14,14,1,1,14,128
477,14,14,1,14,1,14,13,14,1,14,128
478,14,14,1,1,1,1,13,1,13,8,128
479,19,1,19,13,8,8,6,1,1,1,128
480,1,13,1,8,1,8,1,1,8,8,128
481,8,1,1,8,8,8,1,8,1,8,128
482,8,1,8,8,8,1,8,1,8,13,128
483,8,8,1,1,8,8,8,1,8,1,128
484,1,1,1,7,1,13,19,1,13,7,128
485,1,19,7,6,19,7,7,1,546,1,128
486,13,1,7,7,1,7,7,1,7,7,128
487,1,19,7,7,1,7,7,7,7,1,128
488,7,7,7,7,1,7,1,7,7,7,128
489,1,7,7,13,1,7,7,1,7,7,128
490,7,7,1,7,7,7,7,1,7,1,128
491,7,7,7,1,7,7,1,1,1,1,128
492,13,1,7,19,1,13,1,13,7,6,128
493,19,7,1,1,1,1,13,1,7,7,128
494,1,7,7,1,7,7,7,7,1,7,128
495,7,1,7,7,1,7,7,1,7,7,128
496,1,7,7,7,7,1,1,7,7,13,128
497,7,7,1,7,7,1,7,7,1,7,128
498,7,1,7,7,1,7,7,7,7,1,128
499,1,1,1,19,153,38,1,13,8,38,128
500,19,13,8,1,75,75,13,19,75,78,128
501,1,78,8,1,1,1,1,8,1,8,128
502,8,1,1,8,8,8,78,8,1,8,128
503,1,8,8,1,8,8,1,8,8,1,128
504,8,8,8,8,1,1,8,13,8,8,128
505,1,8,1,8,8,8,1,8,8,1,128
506,8,8,1,8,8,1,1,19,1,1,128
507,1,13,8,19,3,1,8,1,13,75,128
508,1,8,19,1,1,19,13,1,1,8,128
509,1,8,8,1,8,8,1,19,8,8,128
510,1,8,8,8,8,1,1,8,8,8,128
511,8,1,1,8,8,8,8,1,8,8,128
512,1,13,1,1,1,13,11,19,1,13,128
513,1,11,1,1,1,11,11,1,11,11,128
514,1,1,11,11,75,11,11,1,1,11,128
515,11,11,11,1,11,11,1,11,11,1,128
516,11,11,11,11,1,1,11,11,13,11,128
517,11,1,1,11,11,1,1,1,1,13,128
518,7,7,13,19,1,1,1,1,1,1,128
519,7,7,1,7,7,1,7,7,1,75,128
520,7,7,1,7,7,1,7,7,1,7,128
521,7,7,7,1,7,7,7,7,1,7,128
522,1,7,13,7,7,1,7,7,1,7,128
523,7,1,1,13,1,11,19,1,13,11,128
524,1,1,1,1,1,11,11,1,11,11,128
525,1,11,11,11,75,1,11,1,11,11,128
526,11,11,1,1,11,11,11,11,1,11,128
527,11,1,11,11,1,11,11,13,11,1,128
528,11,1,11,11,11,11,1,1,11,11,128
529,11,11,1,11,11,1,11,11,1,11,128
530,11,1,1,1,1,13,1,13,1,19,128
531,11,13,11,1,11,1,75,19,11,1,128
532,1,11,1,13,1,11,11,1,11,1,128
533,11,1,11,11,11,19,11,1,1,11,128
534,11,11,11,1,11,1,11,11,11,1,128
535,11,11,11,1,1,11,11,11,13,11,128
536,1,11,1,11,11,11,1,11,11,1,128
537,11,11,1,11,11,11,11,1,1,11,128
538,1,1,1,13,1,14,19,14,19,1,128
539,13,19,1,75,19,1,19,1,1,1,128
540,14,1,14,14,1,14,14,1,14,14,128
541,1,14,14,14,1,14,1,14,14,14,128
542,14,1,1,14,14,14,14,1,14,14,128
543,1,13,14,14,1,14,14,14,1,14,128
544,1,14,14,14,14,1,1,14,14,14,128
545,14,1,14,14,1,14,14,1,14,14,128
546,14,1,14,1,1,1,13,1,1,19,128
547,8,1,8,13,75,1,1,8,8,13,128
548,1,1,8,8,1,8,8,1,8,8,128
549,19,8,1,1,8,8,8,8,1,8,128
550,1,8,8,8,1,8,8,1,8,8,128
551,1,8,8,13,8,1,1,1,1,13,128
552,1,13,11,1,19,11,1,13,1,1,128
553,1,13,1,11,1,11,11,1,1,11,128
554,11,11,75,1,11,11,1,11,1,4,128
555,60,60,60,60,39,3,2,2,3,6,128
556,2,3,6,19,13,38,2,38,19,6,128
557,38,78,38,78,15,78,38,15,15,15,128
558,15,15,15,15,15,15,3,19,38,13,128
559,6,78,11,78,13,19,38,75,75,6,128
560,75,1,75,43,81,13,106,13,11,239,128
561,38,13,11,11,78,1,38,13,1,13,128
562,11,1,11,1,1,11,1,11,11,1,128
563,11,11,1,11,1,78,11,11,1,11,128
564,11,1,11,11,11,1,1,11,11,11,128
565,1,11,11,1,13,11,11,1,11,1,128
566,1,38,19,13,1,1,19,1,1,3,128
567,216,4,10,21,4,65,27,10,21,65,128
568,27,4,4,30,3,4,9,6,30,3,128
569,10,33,4,9,6,33,4,155,3,4,128
570,9,43,21,155,2,43,81,27,4,21,128
571,10,65,60,60,60,60,3,2,2,3,128
572,6,2,3,6,43,2,2373,906,785,281,128
573,1006,1006,1245,785,1035,785,1006,906,2373,1245,128
574,281,1035,1006,785,1245,2373,906,709,376,785,128
